variable,name,description,behaviour,computed_at_runtime_or_static
template_group.name.parts.array.count.plural,template group name parts array count plural,Number of parsed name parts.,Array namespace operation; arrays are exposed under `.array` by convention.,computed_runtime
template_group.name.word.plural,template group name word plural,Last or primary word in the parsed name. for the plural form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.plural,template group name words plural,Human readable words joined by spaces. for the plural form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.lower.plural,template group name words lower plural,Lowercase words joined by spaces. for the plural form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.upper.plural,template group name words upper plural,Uppercase words joined by spaces. for the plural form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.words.title.plural,template group name words title plural,Title case words joined by spaces. for the plural form of the template group.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.camel.plural,template group name casing camel plural,Plural camel casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.pascal.plural,template group name casing pascal plural,Plural pascal casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.snake.plural,template group name casing snake plural,Plural snake casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.kebab.plural,template group name casing kebab plural,Plural kebab casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.path.dot.plural,template group name path dot plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.path.slash.plural,template group name path slash plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.path.filesystem.plural,template group name path filesystem plural,Path-safe name form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.constant.plural,template group name casing constant plural,Plural constant casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.train.plural,template group name casing train plural,Plural train casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
template_group.name.casing.lower.plural,template group name casing lower plural,Plural lower casing form derived from the original name.,Name helper following the agreed `.name.casing.*` and optional final `.singular` / `.plural` pattern.,computed_runtime
